Area,Palmitic,Palmitoleic,Stearic,Oleic,Linoleic
South,1075,75,226,7823,672
South,1088,73,224,7709,781
South,911,54,246,8113,549
South,966,57,240,7952,619
South,1051,67,259,7771,672
South,911,49,268,7924,678
South,922,66,264,7990,618
South,1100,61,235,7728,734
South,1082,60,239,7745,709
South,1037,55,213,7944,633
South,1051,35,219,7978,605
South,1036,59,235,7868,661
South,1074,70,214,7728,747
South,875,52,243,8018,655
South,952,49,254,7795,780
South,1155,98,201,7606,816
South,943,94,183,7840,788
South,1278,69,205,7344,957
South,961,70,195,7958,742
South,952,77,258,7820,736
South,1074,67,236,7692,716
South,995,46,288,7806,679
South,1056,53,247,7703,700
South,1065,39,234,7876,703
South,1065,45,245,7779,696
South,1315,139,230,7299,832
South,1321,136,217,7174,950
South,1359,115,246,7234,874
South,1378,111,272,7127,940
South,1295,109,245,7253,903
South,1275,121,215,7285,892
South,1336,120,318,7083,915
South,1309,122,241,7257,870
South,1340,114,189,7337,820
South,1299,116,253,7309,823
South,1221,107,221,7441,798
South,1245,72,283,7395,829
South,1285,129,244,7323,819
South,1248,107,313,7299,840
South,1356,106,236,7209,866
South,1260,102,228,7354,870
South,1261,121,312,7238,877
South,1304,124,279,7160,928
South,1344,117,287,7129,897
South,1323,96,300,7351,757
South,1292,117,215,7351,839
South,1254,118,244,7394,786
South,1312,131,259,7167,939
South,1213,109,301,7261,925
South,1359,98,351,7262,780
South,1266,97,263,7435,743
South,1298,99,311,7311,787
South,1272,116,279,7258,872
South,1278,87,332,7379,771
South,1184,112,311,7391,819
South,1382,110,268,7241,828
South,1183,146,292,7580,618
South,1261,153,219,7355,818
South,1198,136,239,7639,633
South,1225,134,232,7658,616
South,1339,166,208,7190,923
South,1132,157,240,7641,638
South,1381,183,245,7385,609
South,1409,128,257,7257,759
South,1306,127,250,7254,869
South,1372,120,250,7355,702
South,1336,113,242,7293,855
South,1401,151,238,7164,857
South,1390,119,234,7236,823
South,1432,152,281,7029,949
South,1412,124,298,7182,790
South,1366,147,291,7197,783
South,1383,118,273,7282,738
South,1283,102,263,7400,763
South,1296,136,260,7380,780
South,1287,108,287,7343,826
South,1351,159,296,7229,810
South,1241,97,268,7499,709
South,1267,101,300,7230,898
South,1235,138,252,7322,861
South,1255,103,223,7395,848
South,1454,183,196,7057,1014
South,1347,194,197,7277,895
South,1364,204,225,6929,1084
South,1410,199,216,7130,955
South,1384,178,208,7105,999
South,1412,185,217,6842,1203
South,1410,232,280,6715,1233
South,1509,209,257,6647,1240
South,1317,197,256,7036,1067
South,1286,192,203,7132,1053
South,1273,191,202,6862,1303
South,1463,183,183,6747,1307
South,1399,187,191,6861,1233
South,1413,193,208,6875,1202
South,1369,206,203,6953,1168
South,1488,172,170,6920,1144
South,1323,160,205,6911,1298
South,1311,166,170,6902,1312
South,1286,163,183,7040,1230
South,1380,173,188,7038,1139
South,1394,164,223,7086,1042
South,1324,174,198,6863,1289
South,1290,157,192,7000,1263
South,1361,163,196,6888,1273
South,1387,182,242,6913,1101
South,1369,180,181,7000,1130
South,1303,165,175,7025,1243
South,1346,160,169,7072,1151
South,1369,171,184,6937,1246
South,1305,172,169,7004,1260
South,1351,179,186,6935,1243
South,1283,151,182,7000,1271
South,1449,175,198,6883,1162
South,1310,180,183,7054,1202
South,1360,163,176,6901,1280
South,1300,187,196,6920,1253
South,1368,171,218,7010,1057
South,1207,151,156,7159,1234
South,1348,154,183,6917,1277
South,1334,186,229,7261,827
South,1301,156,207,7003,1229
South,1226,181,213,6961,1230
South,1201,168,190,7100,1216
South,1297,153,177,7004,1260
South,1248,163,158,7103,1222
South,1335,159,197,6974,1220
South,1219,167,171,7087,1254
South,1318,179,177,7030,1194
South,1264,167,166,7130,1187
South,1201,175,201,7129,1193
South,1252,180,181,7055,1214
South,1273,182,209,6965,1191
South,1351,179,170,7034,1154
South,1336,155,212,7103,1086
South,1499,201,182,6803,1204
South,1425,198,193,7032,1041
South,1358,204,227,6962,1109
South,1346,181,257,7147,933
South,1392,186,256,6732,1278
South,1311,166,222,7006,1147
South,1314,171,229,6923,1198
South,1409,200,207,6842,1224
South,1342,174,221,6993,1147
South,1387,182,206,7100,1020
South,1413,202,205,6920,1165
South,1430,209,225,6800,1200
South,1336,185,223,6956,1155
South,1372,200,200,6916,1189
South,1330,157,228,7055,1108
South,1412,207,208,6822,1239
South,1321,209,217,6948,1178
South,1401,200,217,6980,1073
South,1401,214,217,6734,1293
South,1457,168,242,6724,1266
South,1451,199,221,6835,1177
South,1438,206,248,6806,1183
South,1462,204,237,6644,1309
South,1529,215,203,6602,1310
South,1510,189,245,6752,1188
South,1437,222,184,6803,1240
South,1327,129,247,7024,1157
South,1438,172,252,6630,1380
South,1447,176,189,6849,1180
South,1355,144,214,6972,1198
South,1369,156,241,6890,1209
South,1471,188,276,6697,1269
South,1456,179,240,6738,1267
South,1314,140,207,7020,1220
South,1408,176,192,6909,1195
South,1397,172,191,7107,1018
South,1413,191,186,6937,1180
South,1539,194,213,6764,1178
South,1304,159,234,7019,1174
South,1341,160,231,7033,1069
South,1508,208,249,6641,1311
South,1515,226,257,6595,1287
South,1262,165,235,7120,1113
South,1307,197,238,7003,1144
South,1294,159,253,7009,1190
South,1460,187,215,6843,1172
South,1476,187,203,6837,1197
South,1482,178,197,6814,1201
South,1388,176,185,7008,1111
South,1367,172,235,7066,1054
South,1272,207,205,7152,1098
South,1323,157,234,7132,1022
South,1206,218,242,7193,1002
South,1383,157,217,7018,1090
South,1521,190,238,6956,986
South,1350,168,227,6986,1165
South,1422,181,218,6813,1230
South,1298,166,224,6986,1162
South,1447,236,245,6607,1336
South,1347,197,211,6795,1300
South,1339,170,253,6989,1110
South,1388,183,216,6867,1208
South,1527,260,232,6488,1370
South,1495,237,236,6571,1318
South,1487,246,251,6504,1390
South,1399,180,232,6855,1190
South,1489,215,242,6777,1145
South,1339,166,226,6928,1198
South,1482,246,238,6444,1462
South,1434,172,255,6646,1354
South,1347,156,214,6850,1313
South,1340,158,233,6848,1272
South,1453,180,244,6752,1238
South,1306,149,226,7082,1097
South,1349,161,217,6997,1138
South,1254,151,205,7319,947
South,1168,144,220,7230,1109
South,1346,167,224,6959,1111
South,1390,184,212,6898,1189
South,1283,149,224,7077,1104
South,1214,137,232,7269,1005
South,1491,227,205,6941,988
South,1479,218,207,7039,887
South,1445,174,228,6875,1123
South,1439,183,218,6775,1226
South,1387,154,204,6991,1090
South,1426,169,192,7025,1043
South,1451,200,208,6980,1006
South,1493,204,188,6913,1044
South,1419,192,207,6996,1014
South,1342,177,199,7172,952
South,1349,152,236,7145,949
South,1440,196,208,6938,1070
South,1460,215,197,6918,1081
South,1249,133,205,7417,827
South,1348,159,238,7017,1081
South,1341,155,244,6958,1144
South,1398,149,204,7182,907
South,1454,200,199,6910,1090
South,1334,153,219,6928,1214
South,1438,204,189,7107,910
South,1303,138,212,7170,1016
South,1323,147,210,7108,1070
South,1417,169,207,6875,1184
South,1360,167,225,6883,1220
South,1420,179,214,6923,1121
South,1472,218,214,6724,1238
South,1368,174,205,7042,1066
South,1367,173,228,6948,1141
South,1403,173,209,6843,1210
South,1413,197,206,6737,1387
South,1201,138,207,7011,1269
South,1359,180,207,6895,1203
South,1518,198,225,6681,1243
South,1434,185,189,6771,1269
South,1367,162,179,6772,1368
South,1461,181,197,6783,1246
South,1368,161,198,7030,1095
South,1419,159,215,6862,1193
South,1514,162,298,6725,1119
South,1328,171,253,6987,1030
South,1469,160,337,6675,1127
South,1222,133,227,7425,824
South,1639,172,331,6510,1124
South,1345,133,272,6801,1194
South,1339,170,275,6838,1060
South,1194,135,263,7277,889
South,1112,68,375,7770,448
South,1222,70,329,7605,566
South,1136,72,341,7616,661
South,926,41,277,7815,784
South,1105,69,373,7714,532
South,1109,79,305,7576,763
South,1284,93,265,7235,893
South,1120,69,277,7416,946
South,916,52,281,7870,694
South,905,49,288,7747,812
South,1206,55,287,7329,935
South,1457,182,267,7020,863
South,1327,140,193,7328,823
South,1303,100,251,7045,1049
South,1444,175,259,6876,1027
South,1505,243,226,6962,858
South,1429,162,223,6917,1041
South,1491,162,211,6994,928
South,1393,128,211,7189,870
South,1404,134,210,7110,923
South,1222,130,214,7374,856
South,1153,74,316,7593,705
South,1169,76,307,7553,728
