amz,bzk,dv,pol,hl,lr,prinos
25.00,28.3,18,2,3.58,3,22.13
29.24,22.8,22,3,3.95,2,23.65
32.50,33.4,6,4,4.03,4,34.91
28.50,27.7,11,2,2.77,5,21.33
24.83,49.3,28,4,3.21,2,34.93
28.34,55.3,31,9,3.04,4,53.24
35.27,58.4,13,9,3.41,4,53.30
27.00,55.0,18,4,3.20,7,41.46
26.78,39.0,23,3,3.31,2,34.98
29.90,47.1,28,4,3.21,1,52.92
42.17,43.8,12,7,3.32,3,57.27
32.18,46.0,18,2,3.41,3,38.68
29.67,43.8,21,3,3.69,7,46.33
33.44,45.4,28,4,3.77,5,55.81
38.97,48.7,10,6,3.80,5,63.10
30.88,46.0,15,2,3.50,8,48.26
30.68,45.2,30,4,4.10,2,39.79
31.05,51.2,31,9,4.20,1,58.51
40.61,56.2,13,9,4.22,3,57.63
32.37,47.0,19,5,3.88,5,40.75
27.71,51.9,30,2,4.31,2,35.70
31.40,54.9,32,7,4.40,1,56.28
38.99,60.4,17,6,4.42,3,54.87
28.12,52.8,24,2,4.12,5,39.28
30.27,32.2,26,2,4.51,5,44.02
33.90,35.5,30,7,4.46,2,53.36
44.06,44.2,14,6,4.54,5,54.21
32.26,38.9,20,2,4.54,8,42.20
28.00,23.7,31,1,3.86,2,29.99
29.50,30.6,34,2,3.84,1,37.92
28.43,33.4,21,3,4.06,4,38.44
31.18,29.2,28,1,3.69,2,33.78
25.50,38.8,40,2,4.30,2,23.92
27.56,45.6,44,6,4.57,1,27.24
26.02,39.1,28,5,4.32,3,45.88
26.00,46.2,36,1,4.03,1,30.52
