tretman,vreme,zivotinja,masa
A,0,31,233
A,0,32,231
A,0,33,232
A,0,34,239
A,0,35,215
A,0,36,236
A,0,37,219
A,0,38,231
A,0,39,230
A,0,40,232
A,0,41,234
A,0,42,237
A,0,43,229
A,0,44,220
A,0,45,232
A,0,46,210
A,0,47,229
A,0,48,204
A,0,49,220
A,0,50,233
A,0,51,234
A,0,52,200
A,0,53,220
A,0,54,225
A,0,55,236
A,0,56,231
A,0,57,208
A,0,58,232
A,0,59,233
A,0,60,221
A,14,31,224
A,14,32,238
A,14,33,237
A,14,34,246
A,14,35,216
A,14,36,226
A,14,37,229
A,14,38,245
A,14,39,228
A,14,40,240
A,14,41,237
A,14,42,235
A,14,43,234
A,14,44,227
A,14,45,241
A,14,46,225
A,14,47,241
A,14,48,198
A,14,49,221
A,14,50,234
A,14,51,234
A,14,52,207
A,14,53,213
A,14,54,239
A,14,55,245
A,14,56,231
A,14,57,211
A,14,58,248
A,14,59,241
A,14,60,219
A,28,31,245
A,28,32,260
A,28,33,245
A,28,34,268
A,28,35,239
A,28,36,242
A,28,37,246
A,28,38,270
A,28,39,243
A,28,40,247
A,28,41,259
A,28,42,258
A,28,43,254
A,28,44,248
A,28,45,255
A,28,46,242
A,28,47,252
A,28,48,217
A,28,49,236
A,28,50,250
A,28,51,254
A,28,52,217
A,28,53,229
A,28,54,254
A,28,55,257
A,28,56,237
A,28,57,238
A,28,58,261
A,28,59,252
A,28,60,231
A,42,31,258
A,42,32,273
A,42,33,265
A,42,34,288
A,42,35,264
A,42,36,255
A,42,37,265
A,42,38,292
A,42,39,255
A,42,40,263
A,42,41,289
A,42,42,263
A,42,43,276
A,42,44,273
A,42,45,276
A,42,46,260
A,42,47,265
A,42,48,233
A,42,49,260
A,42,50,268
A,42,51,274
A,42,52,238
A,42,53,252
A,42,54,269
A,42,55,271
A,42,56,261
A,42,57,254
A,42,58,285
A,42,59,273
A,42,60,251
A,56,31,271
A,56,32,290
A,56,33,285
A,56,34,308
A,56,35,282
A,56,36,263
A,56,37,279
A,56,38,302
A,56,39,272
A,56,40,275
A,56,41,311
A,56,42,282
A,56,43,294
A,56,44,290
A,56,45,293
A,56,46,272
A,56,47,274
A,56,48,251
A,56,49,274
A,56,50,280
A,56,51,294
A,56,52,252
A,56,53,254
A,56,54,289
A,56,55,294
A,56,56,274
A,56,57,267
A,56,58,292
A,56,59,301
A,56,60,270
A,70,31,287
A,70,32,300
A,70,33,298
A,70,34,309
A,70,35,299
A,70,36,277
A,70,37,292
A,70,38,321
A,70,39,276
A,70,40,286
A,70,41,324
A,70,42,304
A,70,43,315
A,70,44,308
A,70,45,309
A,70,46,277
A,70,47,285
A,70,48,258
A,70,49,295
A,70,50,298
A,70,51,306
A,70,52,267
A,70,53,273
A,70,54,308
A,70,55,307
A,70,56,285
A,70,57,287
A,70,58,307
A,70,59,316
A,70,60,272
A,84,31,287
A,84,32,311
A,84,33,304
A,84,34,327
A,84,35,307
A,84,36,290
A,84,37,299
A,84,38,322
A,84,39,277
A,84,40,294
A,84,41,342
A,84,42,318
A,84,43,323
A,84,44,322
A,84,45,310
A,84,46,273
A,84,47,303
A,84,48,272
A,84,49,300
A,84,50,308
A,84,51,318
A,84,52,284
A,84,53,293
A,84,54,313
A,84,55,317
A,84,56,291
A,84,57,306
A,84,58,312
A,84,59,332
A,84,60,287
A,98,31,287
A,98,32,313
A,98,33,319
A,98,34,324
A,98,35,321
A,98,36,299
A,98,37,299
A,98,38,334
A,98,39,289
A,98,40,302
A,98,41,347
A,98,42,327
A,98,43,341
A,98,44,326
A,98,45,330
A,98,46,295
A,98,47,308
A,98,48,283
A,98,49,301
A,98,50,319
A,98,51,334
A,98,52,282
A,98,53,289
A,98,54,324
A,98,55,327
A,98,56,301
A,98,57,312
A,98,58,323
A,98,59,336
A,98,60,294
A,112,31,290
A,112,32,317
A,112,33,317
A,112,34,327
A,112,35,328
A,112,36,300
A,112,37,298
A,112,38,323
A,112,39,289
A,112,40,308
A,112,41,355
A,112,42,336
A,112,43,346
A,112,44,330
A,112,45,326
A,112,46,292
A,112,47,315
A,112,48,279
A,112,49,310
A,112,50,318
A,112,51,343
A,112,52,282
A,112,53,294
A,112,54,327
A,112,55,328
A,112,56,307
A,112,57,320
A,112,58,318
A,112,59,339
A,112,60,292
A,126,31,293
A,126,32,321
A,126,33,334
A,126,34,336
A,126,35,332
A,126,36,308
A,126,37,300
A,126,38,337
A,126,39,300
A,126,40,319
A,126,41,368
A,126,42,349
A,126,43,352
A,126,44,342
A,126,45,329
A,126,46,305
A,126,47,328
A,126,48,295
A,126,49,318
A,126,50,336
A,126,51,349
A,126,52,284
A,126,53,292
A,126,54,347
A,126,55,328
A,126,56,315
A,126,57,337
A,126,58,328
A,126,59,348
A,126,60,292
A,133,31,297
A,133,32,326
A,133,33,329
A,133,34,341
A,133,35,337
A,133,36,310
A,133,37,290
A,133,38,337
A,133,39,303
A,133,40,326
A,133,41,368
A,133,42,353
A,133,43,357
A,133,44,343
A,133,45,330
A,133,46,306
A,133,47,328
A,133,48,298
A,133,49,316
A,133,50,333
A,133,51,350
A,133,52,288
A,133,53,298
A,133,54,344
A,133,55,325
A,133,56,320
A,133,57,338
A,133,58,329
A,133,59,345
A,133,60,299
B,0,1,210
B,0,2,230
B,0,3,226
B,0,4,233
B,0,5,238
B,0,6,225
B,0,7,224
B,0,8,237
B,0,9,237
B,0,10,233
B,0,11,217
B,0,12,228
B,0,13,241
B,0,14,221
B,0,15,217
B,0,16,214
B,0,17,224
B,0,18,200
B,0,19,238
B,0,20,230
B,0,21,217
B,0,22,209
B,0,23,224
B,0,24,230
B,0,25,216
B,0,26,231
B,0,27,207
B,0,28,227
B,0,29,221
B,0,30,233
B,14,1,215
B,14,2,240
B,14,3,233
B,14,4,239
B,14,5,241
B,14,6,228
B,14,7,225
B,14,8,241
B,14,9,224
B,14,10,239
B,14,11,222
B,14,12,223
B,14,13,247
B,14,14,221
B,14,15,220
B,14,16,221
B,14,17,231
B,14,18,203
B,14,19,232
B,14,20,222
B,14,21,224
B,14,22,209
B,14,23,227
B,14,24,231
B,14,25,218
B,14,26,239
B,14,27,216
B,14,28,236
B,14,29,232
B,14,30,238
B,28,1,230
B,28,2,258
B,28,3,248
B,28,4,253
B,28,5,262
B,28,6,237
B,28,7,239
B,28,8,255
B,28,9,234
B,28,10,259
B,28,11,235
B,28,12,246
B,28,13,268
B,28,14,240
B,28,15,235
B,28,16,237
B,28,17,241
B,28,18,221
B,28,19,252
B,28,20,243
B,28,21,242
B,28,22,221
B,28,23,245
B,28,24,244
B,28,25,223
B,28,26,254
B,28,27,228
B,28,28,251
B,28,29,251
B,28,30,254
B,42,1,244
B,42,2,277
B,42,3,277
B,42,4,277
B,42,5,282
B,42,6,261
B,42,7,257
B,42,8,276
B,42,9,239
B,42,10,283
B,42,11,256
B,42,12,266
B,42,13,290
B,42,14,253
B,42,15,259
B,42,16,256
B,42,17,256
B,42,18,236
B,42,19,268
B,42,20,253
B,42,21,265
B,42,22,238
B,42,23,267
B,42,24,261
B,42,25,243
B,42,26,276
B,42,27,255
B,42,28,264
B,42,29,274
B,42,30,266
B,56,1,259
B,56,2,277
B,56,3,297
B,56,4,292
B,56,5,300
B,56,6,271
B,56,7,268
B,56,8,293
B,56,9,256
B,56,10,294
B,56,11,267
B,56,12,277
B,56,13,309
