id,godina,prinos,era
1,1866,1.63,open-pollinated
2,1867,1.66,open-pollinated
3,1868,1.76,open-pollinated
4,1869,1.47,open-pollinated
5,1870,1.97,open-pollinated
6,1871,1.83,open-pollinated
7,1872,1.98,open-pollinated
8,1873,1.54,open-pollinated
9,1874,1.49,open-pollinated
10,1875,1.86,open-pollinated
11,1876,1.80,open-pollinated
12,1877,1.74,open-pollinated
13,1878,1.76,open-pollinated
14,1879,1.90,open-pollinated
15,1880,1.84,open-pollinated
16,1881,1.33,open-pollinated
17,1882,1.78,open-pollinated
18,1883,1.63,open-pollinated
19,1884,1.90,open-pollinated
20,1885,1.92,open-pollinated
21,1886,1.62,open-pollinated
22,1887,1.47,open-pollinated
23,1888,1.96,open-pollinated
24,1889,1.98,open-pollinated
25,1890,1.49,open-pollinated
26,1891,1.99,open-pollinated
27,1892,1.66,open-pollinated
28,1893,1.60,open-pollinated
29,1894,1.36,open-pollinated
30,1895,1.88,open-pollinated
31,1896,2.02,open-pollinated
32,1897,1.71,open-pollinated
33,1898,1.80,open-pollinated
34,1899,1.88,open-pollinated
35,1900,1.89,open-pollinated
36,1901,1.22,open-pollinated
37,1902,1.92,open-pollinated
38,1903,1.81,open-pollinated
39,1904,1.90,open-pollinated
40,1905,2.08,open-pollinated
41,1906,2.13,open-pollinated
42,1907,1.83,open-pollinated
43,1908,1.81,open-pollinated
44,1909,1.76,open-pollinated
45,1910,1.88,open-pollinated
46,1911,1.64,open-pollinated
47,1912,1.96,open-pollinated
48,1913,1.53,open-pollinated
49,1914,1.74,open-pollinated
50,1915,1.89,open-pollinated
51,1916,1.62,open-pollinated
52,1917,1.76,open-pollinated
53,1918,1.61,open-pollinated
54,1919,1.80,open-pollinated
55,1920,2.01,open-pollinated
56,1921,1.87,open-pollinated
57,1922,1.77,open-pollinated
58,1923,1.87,open-pollinated
59,1924,1.49,open-pollinated
60,1925,1.84,open-pollinated
61,1926,1.73,open-pollinated
62,1927,1.78,open-pollinated
63,1928,1.77,open-pollinated
64,1929,1.73,open-pollinated
65,1930,1.38,double cross
66,1931,1.65,double cross
67,1932,1.78,double cross
68,1933,1.53,double cross
69,1934,1.26,double cross
70,1935,1.63,double cross
71,1936,1.25,double cross
72,1937,1.94,double cross
73,1938,1.87,double cross
74,1939,2.01,double cross
75,1940,1.94,double cross
76,1941,2.10,double cross
77,1942,2.38,double cross
78,1943,2.19,double cross
79,1944,2.22,double cross
80,1945,2.23,double cross
81,1946,2.50,double cross
82,1947,1.92,double cross
83,1948,2.89,double cross
84,1949,2.57,double cross
85,1950,2.57,double cross
86,1951,2.48,double cross
87,1952,2.81,double cross
88,1953,2.74,double cross
89,1954,2.65,double cross
90,1955,2.82,double cross
91,1956,3.19,double cross
92,1957,3.25,double cross
93,1958,3.55,double cross
94,1959,3.57,double cross
95,1960,3.68,single cross
96,1961,4.20,single cross
97,1962,4.35,single cross
98,1963,4.57,single cross
99,1964,4.23,single cross
100,1965,4.98,single cross
101,1966,4.92,single cross
102,1967,5.39,single cross
103,1968,5.35,single cross
104,1969,5.78,single cross
105,1970,4.87,single cross
106,1971,5.92,single cross
107,1972,6.52,single cross
108,1973,6.14,single cross
109,1974,4.84,single cross
110,1975,5.81,single cross
111,1976,5.92,single cross
112,1977,6.11,single cross
113,1978,6.79,single cross
114,1979,7.36,single cross
115,1980,6.12,single cross
116,1981,7.32,single cross
117,1982,7.61,single cross
118,1983,5.45,single cross
119,1984,7.18,single cross
120,1985,7.94,single cross
121,1986,8.03,single cross
122,1987,8.06,single cross
123,1988,5.69,single cross
124,1989,7.82,single cross
125,1990,7.97,single cross
126,1991,7.30,single cross
127,1992,8.84,single cross
128,1993,6.77,single cross
129,1994,9.32,single cross
130,1995,7.63,biotech / GMO
131,1996,8.55,biotech / GMO
132,1997,8.52,biotech / GMO
133,1998,9.04,biotech / GMO
134,1999,9.00,biotech / GMO
135,2000,9.21,biotech / GMO
136,2001,9.29,biotech / GMO
137,2002,8.70,biotech / GMO
138,2003,9.56,biotech / GMO
139,2004,10.78,biotech / GMO
140,2005,9.95,biotech / GMO
141,2006,10.03,biotech / GMO
142,2007,10.13,biotech / GMO
143,2008,10.31,biotech / GMO
144,2009,11.06,biotech / GMO
145,2010,10.26,biotech / GMO
146,2011,9.87,biotech / GMO
147,2012,8.28,biotech / GMO
148,2013,10.63,biotech / GMO
149,2014,11.50,biotech / GMO
150,2015,11.33,biotech / GMO
151,2016,11.74,biotech / GMO
152,2017,11.88,biotech / GMO
153,2018,11.86,biotech / GMO
154,2019,11.26,biotech / GMO
