id,env,gen,yield,resid,MaxT,MinT,Rain,RH,tau3,zeta16,Rstc,rho2,rho12,xi16
1,E1,G1,10,1.24,5,-3,-119,-63,-0.0228,0.3628,-41,-0.0082,0.5525,0.5820
2,E1,G2,9,0.65,5,-3,-119,-63,-0.0228,0.3628,-13,-0.0038,0.2614,0.2320
3,E1,G3,11,2.24,5,-3,-119,-63,-0.0228,0.3628,-37,-0.0053,0.3335,0.3073
4,E1,G4,8,-0.51,5,-3,-119,-63,-0.0228,0.3628,34,0.0041,-0.2899,-0.3620
5,E1,G5,9,0.15,5,-3,-119,-63,-0.0228,0.3628,-5,-0.0023,0.1635,0.1991
6,E1,G6,8,-0.60,5,-3,-119,-63,-0.0228,0.3628,25,0.0002,-0.0297,-0.0792
7,E1,G7,11,1.49,5,-3,-119,-63,-0.0228,0.3628,-32,-0.0025,0.1780,0.1522
8,E1,G8,10,-0.26,5,-3,-119,-63,-0.0228,0.3628,-7,0.0017,-0.1037,-0.1038
9,E1,G9,8,-1.18,5,-3,-119,-63,-0.0228,0.3628,-24,-0.0024,0.1538,0.1169
10,E1,G10,8,-0.76,5,-3,-119,-63,-0.0228,0.3628,2,0.0014,-0.0795,0.0564
11,E1,G11,8,-0.18,5,-3,-119,-63,-0.0228,0.3628,16,0.0010,-0.0347,-0.0748
12,E1,G12,8,-0.26,5,-3,-119,-63,-0.0228,0.3628,8,0.0011,-0.0737,-0.0438
13,E1,G13,8,-0.60,5,-3,-119,-63,-0.0228,0.3628,-13,0.0012,-0.0900,-0.2335
14,E1,G14,9,-0.10,5,-3,-119,-63,-0.0228,0.3628,11,0.0043,-0.2351,-0.1182
15,E1,G15,9,-0.35,5,-3,-119,-63,-0.0228,0.3628,39,0.0069,-0.4850,-0.4306
16,E1,G16,7,-1.10,5,-3,-119,-63,-0.0228,0.3628,14,0.0008,-0.0840,-0.1441
17,E1,G17,8,0.15,5,-3,-119,-63,-0.0228,0.3628,23,0.0019,-0.1373,-0.0558
18,E2,G1,6,-0.94,11,7,-39,-10,0.0028,-0.1212,-41,-0.0082,0.5525,0.5820
19,E2,G2,6,-0.52,11,7,-39,-10,0.0028,-0.1212,-13,-0.0038,0.2614,0.2320
20,E2,G3,7,0.06,11,7,-39,-10,0.0028,-0.1212,-37,-0.0053,0.3335,0.3073
21,E2,G4,7,0.31,11,7,-39,-10,0.0028,-0.1212,34,0.0041,-0.2899,-0.3620
22,E2,G5,7,-0.02,11,7,-39,-10,0.0028,-0.1212,-5,-0.0023,0.1635,0.1991
23,E2,G6,8,1.23,11,7,-39,-10,0.0028,-0.1212,25,0.0002,-0.0297,-0.0792
24,E2,G7,8,0.31,11,7,-39,-10,0.0028,-0.1212,-32,-0.0025,0.1780,0.1522
25,E2,G8,8,-0.44,11,7,-39,-10,0.0028,-0.1212,-7,0.0017,-0.1037,-0.1038
26,E2,G9,8,0.64,11,7,-39,-10,0.0028,-0.1212,-24,-0.0024,0.1538,0.1169
27,E2,G10,6,-0.94,11,7,-39,-10,0.0028,-0.1212,2,0.0014,-0.0795,0.0564
28,E2,G11,7,0.64,11,7,-39,-10,0.0028,-0.1212,16,0.0010,-0.0347,-0.0748
29,E2,G12,6,-0.44,11,7,-39,-10,0.0028,-0.1212,8,0.0011,-0.0737,-0.0438
30,E2,G13,8,1.23,11,7,-39,-10,0.0028,-0.1212,-13,0.0012,-0.0900,-0.2335
31,E2,G14,6,-1.27,11,7,-39,-10,0.0028,-0.1212,11,0.0043,-0.2351,-0.1182
32,E2,G15,7,-0.52,11,7,-39,-10,0.0028,-0.1212,39,0.0069,-0.4850,-0.4306
33,E2,G16,7,0.73,11,7,-39,-10,0.0028,-0.1212,14,0.0008,-0.0840,-0.1441
34,E2,G17,6,-0.02,11,7,-39,-10,0.0028,-0.1212,23,0.0019,-0.1373,-0.0558
35,E3,G1,6,1.12,15,1,-121,61,-0.0164,0.3370,-41,-0.0082,0.5525,0.5820
36,E3,G2,5,0.53,15,1,-121,61,-0.0164,0.3370,-13,-0.0038,0.2614,0.2320
37,E3,G3,6,1.12,15,1,-121,61,-0.0164,0.3370,-37,-0.0053,0.3335,0.3073
38,E3,G4,4,-0.63,15,1,-121,61,-0.0164,0.3370,34,0.0041,-0.2899,-0.3620
39,E3,G5,6,1.03,15,1,-121,61,-0.0164,0.3370,-5,-0.0023,0.1635,0.1991
40,E3,G6,4,-0.72,15,1,-121,61,-0.0164,0.3370,25,0.0002,-0.0297,-0.0792
41,E3,G7,5,-0.63,15,1,-121,61,-0.0164,0.3370,-32,-0.0025,0.1780,0.1522
42,E3,G8,5,-1.38,15,1,-121,61,-0.0164,0.3370,-7,0.0017,-0.1037,-0.1038
43,E3,G9,6,0.70,15,1,-121,61,-0.0164,0.3370,-24,-0.0024,0.1538,0.1169
44,E3,G10,6,1.12,15,1,-121,61,-0.0164,0.3370,2,0.0014,-0.0795,0.0564
45,E3,G11,4,-0.30,15,1,-121,61,-0.0164,0.3370,16,0.0010,-0.0347,-0.0748
46,E3,G12,4,-0.38,15,1,-121,61,-0.0164,0.3370,8,0.0011,-0.0737,-0.0438
47,E3,G13,4,-0.72,15,1,-121,61,-0.0164,0.3370,-13,0.0012,-0.0900,-0.2335
48,E3,G14,6,0.78,15,1,-121,61,-0.0164,0.3370,11,0.0043,-0.2351,-0.1182
49,E3,G15,5,-0.47,15,1,-121,61,-0.0164,0.3370,39,0.0069,-0.4850,-0.4306
50,E3,G16,4,-0.22,15,1,-121,61,-0.0164,0.3370,14,0.0008,-0.0840,-0.1441
51,E3,G17,3,-0.97,15,1,-121,61,-0.0164,0.3370,23,0.0019,-0.1373,-0.0558
52,E4,G1,7,0.24,16,12,41,65,0.0055,0.0145,-41,-0.0082,0.5525,0.5820
53,E4,G2,7,0.65,16,12,41,65,0.0055,0.0145,-13,-0.0038,0.2614,0.2320
54,E4,G3,7,0.24,16,12,41,65,0.0055,0.0145,-37,-0.0053,0.3335,0.3073
55,E4,G4,6,-0.51,16,12,41,65,0.0055,0.0145,34,0.0041,-0.2899,-0.3620
56,E4,G5,7,0.15,16,12,41,65,0.0055,0.0145,-5,-0.0023,0.1635,0.1991
57,E4,G6,7,0.40,16,12,41,65,0.0055,0.0145,25,0.0002,-0.0297,-0.0792
58,E4,G7,7,-0.51,16,12,41,65,0.0055,0.0145,-32,-0.0025,0.1780,0.1522
59,E4,G8,8,-0.26,16,12,41,65,0.0055,0.0145,-7,0.0017,-0.1037,-0.1038
60,E4,G9,7,-0.18,16,12,41,65,0.0055,0.0145,-24,-0.0024,0.1538,0.1169
61,E4,G10,7,0.24,16,12,41,65,0.0055,0.0145,2,0.0014,-0.0795,0.0564
62,E4,G11,5,-1.18,16,12,41,65,0.0055,0.0145,16,0.0010,-0.0347,-0.0748
63,E4,G12,6,-0.26,16,12,41,65,0.0055,0.0145,8,0.0011,-0.0737,-0.0438
64,E4,G13,6,-0.60,16,12,41,65,0.0055,0.0145,-13,0.0012,-0.0900,-0.2335
65,E4,G14,6,-1.10,16,12,41,65,0.0055,0.0145,11,0.0043,-0.2351,-0.1182
66,E4,G15,9,1.65,16,12,41,65,0.0055,0.0145,39,0.0069,-0.4850,-0.4306
67,E4,G16,6,-0.10,16,12,41,65,0.0055,0.0145,14,0.0008,-0.0840,-0.1441
68,E4,G17,7,1.15,16,12,41,65,0.0055,0.0145,23,0.0019,-0.1373,-0.0558
69,E5,G1,9,0.06,-2,3,21,20,0.0092,-0.0839,-41,-0.0082,0.5525,0.5820
70,E5,G2,8,-0.52,-2,3,21,20,0.0092,-0.0839,-13,-0.0038,0.2614,0.2320
71,E5,G3,9,0.06,-2,3,21,20,0.0092,-0.0839,-37,-0.0053,0.3335,0.3073
72,E5,G4,8,-0.69,-2,3,21,20,0.0092,-0.0839,34,0.0041,-0.2899,-0.3620
73,E5,G5,9,-0.02,-2,3,21,20,0.0092,-0.0839,-5,-0.0023,0.1635,0.1991
74,E5,G6,8,-0.77,-2,3,21,20,0.0092,-0.0839,25,0.0002,-0.0297,-0.0792
75,E5,G7,9,-0.69,-2,3,21,20,0.0092,-0.0839,-32,-0.0025,0.1780,0.1522
76,E5,G8,11,0.56,-2,3,21,20,0.0092,-0.0839,-7,0.0017,-0.1037,-0.1038
77,E5,G9,9,-0.36,-2,3,21,20,0.0092,-0.0839,-24,-0.0024,0.1538,0.1169
78,E5,G10,9,0.06,-2,3,21,20,0.0092,-0.0839,2,0.0014,-0.0795,0.0564
79,E5,G11,9,0.64,-2,3,21,20,0.0092,-0.0839,16,0.0010,-0.0347,-0.0748
80,E5,G12,8,-0.44,-2,3,21,20,0.0092,-0.0839,8,0.0011,-0.0737,-0.0438
81,E5,G13,8,-0.77,-2,3,21,20,0.0092,-0.0839,-13,0.0012,-0.0900,-0.2335
82,E5,G14,10,0.73,-2,3,21,20,0.0092,-0.0839,11,0.0043,-0.2351,-0.1182
83,E5,G15,11,1.48,-2,3,21,20,0.0092,-0.0839,39,0.0069,-0.4850,-0.4306
