env,TSM0,tSM0,TsM0,tsM0,TSm0,tSm0,Tsm0,tsm0,TSMn,tSMn,TsMn,tsMn,TSmn,tSmn,Tsmn,tsmn,TSMN,tSMN,TsMN,tsMN,TSmN,tSmN,TsmN,tsmN
Y88,8132,6691,7163,5632,5942,5164,4537,4085,9521,8189,8785,8353,7982,7211,8132,6150,9852,8639,9597,8536,8940,8203,8686,7384
Y89,7434,7140,7483,7146,5544,5650,3913,4657,7560,6922,7440,7526,7406,7158,7217,7117,6785,6782,6903,6173,7361,7275,7748,7667
Y90,5243,4861,4724,4181,4717,4437,4463,4554,8016,7337,8203,7718,7435,7217,7431,7067,8517,7690,8204,7478,7989,7314,7706,7289
Y91,7799,7448,7857,6787,6410,6015,5964,6320,9017,8320,8658,8082,7686,7878,7624,7551,8896,8337,8781,8787,8519,8294,8362,7937
Y92,6085,6767,5645,4559,5396,5693,4282,3149,6844,6930,7197,7006,7632,7664,7006,7331,6507,7433,6876,7094,7059,6730,7196,7610
Y93,7456,7197,6961,6021,5824,5759,4425,4129,8054,8116,7579,7561,7405,7217,6965,7407,7755,8179,8761,8340,7714,7406,7634,7945
Y94,8435,8750,7377,6830,5650,7200,5331,4760,9227,9608,8692,9931,8009,8345,8186,7852,9355,8679,9028,8426,8447,8354,7939,8424
Y95,5865,5543,5749,5194,4242,4186,4210,3507,5998,6165,4867,5600,6432,6093,5832,5999,4873,5211,4976,5222,6564,5923,5883,6250
Y96,7564,6639,7877,7477,6316,5740,6348,6049,7813,7410,7722,7406,7643,7006,7187,7474,7035,7101,7380,6910,7362,6880,7025,6940
Y97,7794,6992,6780,5145,4683,4364,3969,3304,9469,8503,9101,8490,8204,8131,8089,7448,8875,8666,9121,8535,8988,8586,9164,8424
